201,Mt,Mt,Máté evangéliuma,,
202,Mk,Mk,Márk evangéliuma,,
203,Lk,Lk,Lukács evangéliuma,,
204,Jn,Jn,János evangéliuma,,
205,ApCsel,ApCsel,Az apostolok cselekedetei,,
206,Róm,Rom,A rómaiaknak írt levél,,
207,1Kor,1Kor,A korintusiaknak írt első levél,,
208,2Kor,2Kor,A korintusiaknak írt második levél,,
209,Gal,Gal,A galatáknak írt levél,,
210,Ef,Ef,Az efezusiaknak írt levél,,
211,Fil,Fil,A filippieknek írt levél,,
212,Kol,Kol,A kolosszeieknek írt levél,,
213,1Tessz,1Tessz,A tesszalonikaiaknak írt első levél,,
214,2Tessz,2Tessz,A tesszalonikaiaknak írt második levél,,
215,1Tim,1Tim,A Timóteusnak írt első levél,,
216,2Tim,2Tim,A Timóteusnak írt második levél,,
217,Tit,Tit,A Titusznak írt levél,,
218,Filem,Filem,A Filemonnak írt levél,,
219,Zsid,Zsid,A zsidóknak írt levél,,
220,Jak,Jak,Jakab levele,,
221,1Pt,1Pt,Péter első levele,,
222,2Pt,2Pt,Péter második levele,,
223,1Jn,1Jn,János első levele,,
224,2Jn,2Jn,János második levele,,
225,3Jn,3Jn,János harmadik levele,,
226,Júd,Jud,Júdás levele,,
227,Jel,Jel,Jelenések könyve,,
